path,ext,size_kb,mtime_utc,figure_role,training_vs_paper,cjk_in_path,likely_generator_script,likely_source_data,deprecated_hint,recommended_disposition,git_tracked
long_term_stability/Fiber1/13.JPG,.jpg,411.6,2026-04-26T12:49Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/2.JPG,.jpg,412.5,2026-04-26T12:45Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/3.JPG,.jpg,412.3,2026-04-26T12:45Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/4.JPG,.jpg,412.6,2026-04-26T12:46Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/5.JPG,.jpg,412.1,2026-04-26T12:46Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/6.JPG,.jpg,412.1,2026-04-26T12:46Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/7.JPG,.jpg,411.9,2026-04-26T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/8.JPG,.jpg,412.1,2026-04-26T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber1/9.JPG,.jpg,412.0,2026-04-26T12:47Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/1.JPG,.jpg,356.2,2026-04-27T04:26Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/10.JPG,.jpg,356.4,2026-04-27T04:28Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/11.JPG,.jpg,356.4,2026-04-27T04:29Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/12.JPG,.jpg,356.3,2026-04-27T04:29Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/13.JPG,.jpg,356.3,2026-04-27T04:29Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/2.JPG,.jpg,355.4,2026-04-27T04:26Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/3.JPG,.jpg,355.5,2026-04-27T04:27Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/4.JPG,.jpg,355.2,2026-04-27T04:27Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/5.JPG,.jpg,355.4,2026-04-27T04:27Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/6.JPG,.jpg,355.6,2026-04-27T04:27Z,other,review_needed,False,,unknown,,review,False
long_term_stability/Fiber10/7.JPG,.jpg,356.2,2026-04-27T04:28Z,other,review_needed,False,,unknown,,review,False
